%year,month,precipitation anomalies, PDSI
1963,10,0.42319,0.14
1963,11,1.2533,0.58
1963,12,-1.389,0.02
1964,1,3.3196,1.05
1964,2,-2.5457,-0.96
1964,3,0.10899,-0.67
1964,4,-0.60725,-0.64
1964,5,-0.98029,-0.84
1964,6,0.8558,0.46
1964,7,0.36116,0.88
1964,8,0.65,1.41
1964,9,0.29246,1.52
1964,10,-1.9168,0.78
1964,11,0.24333,0.89
1964,12,2.011,1.46
1965,1,1.6596,1.85
1965,2,0.0043478,-0.07
1965,3,-3.611,-1.38
1965,4,0.15275,-1.14
1965,5,-0.44029,-1.03
1965,6,-1.0342,-1.4
1965,7,-0.15884,-1.54
1965,8,0.9,-0.98
1965,9,-1.1075,-1.37
1965,10,-1.5068,-1.91
1965,11,-0.77667,-1.99
1965,12,-0.86899,-2.11
1966,1,0.51957,-1.69
1966,2,-1.7657,-2.21
1966,3,0.71899,-1.63
1966,4,-1.6272,-2.14
1966,5,-1.0003,-2.37
1966,6,-0.0042029,-0.02
1966,7,0.74116,0.37
1966,8,-0.58,-0.2
1966,9,-0.30754,-0.47
1966,10,-0.22681,-0.49
1966,11,-0.056667,0.02
1966,12,1.931,0.56
1967,1,2.9496,1.35
1967,2,-0.88565,-0.47
1967,3,0.32899,0.26
1967,4,-0.057246,0.52
1967,5,-1.0403,-0.37
1967,6,-0.3242,-0.64
1967,7,-0.72884,-1.29
1967,8,-1.06,-2.11
1967,9,-0.63754,-2.51
1967,10,4.0832,1.39
1967,11,-2.9767,0.49
1967,12,-0.13899,0.37
1968,1,0.82957,0.63
1968,2,1.3643,0.89
1968,3,-0.041014,0.7
1968,4,-0.80725,0.48
1968,5,-0.42029,0.32
1968,6,0.5758,0.6
1968,7,-0.25884,0.57
1968,8,2.1,1.74
1968,9,0.59246,1.85
1968,10,1.1432,2.27
1968,11,0.023333,2.18
1968,12,1.541,2.45
1969,1,1.3196,2.64
1969,2,-1.1257,-0.39
1969,3,-2.041,-1.09
1969,4,0.70275,-0.53
1969,5,-0.24029,-0.64
1969,6,-0.3142,-0.89
1969,7,-0.43884,-1.3
1969,8,-0.74,-1.66
1969,9,2.0325,-0.6
1969,10,-1.5768,-0.91
1969,11,-3.5667,-1.85
1969,12,-0.088986,-1.74
1970,1,2.9396,-0.64
1970,2,-1.3957,-1.22
1970,3,-1.631,-1.69
1970,4,0.99275,-0.75
1970,5,-1.2003,-1.13
1970,6,-0.9342,-1.69
1970,7,-0.22884,-2.17
1970,8,-0.87,-2.67
1970,9,0.60246,0.32
1970,10,-0.48681,0.12
1970,11,-0.49667,0.04
1970,12,1.631,0.57
1971,1,2.8496,1.4
1971,2,-0.45565,1.04
1971,3,2.629,2.23
1971,4,-0.71725,1.86
1971,5,-0.34029,1.55
1971,6,0.6758,1.86
1971,7,-0.12884,1.93
1971,8,-0.39,1.53
1971,9,1.1225,1.98
1971,10,-0.52681,1.76
1971,11,-0.55667,1.51
1971,12,1.391,1.81
1972,1,1.4696,2.11
1972,2,2.6643,2.87
1972,3,2.109,3.41
1972,4,1.0428,3.87
1972,5,-0.35029,3.31
1972,6,0.3058,3.12
1972,7,0.61116,3.22
1972,8,0.11,3.08
1972,9,1.5425,3.61
1972,10,-2.9168,-0.79
1972,11,-2.1867,-1.35
1972,12,2.231,-0.47
1973,1,-1.3704,-0.77
1973,2,-2.7557,-1.76
1973,3,-1.771,-2.3
1973,4,-1.6872,-2.75
1973,5,-0.30029,-2.6
1973,6,-0.064203,-2.36
1973,7,-0.75884,-2.61
1973,8,-0.76,-2.89
1973,9,0.60246,0.18
1973,10,0.23319,0.23
1973,11,3.6033,1.48
1973,12,3.131,2.29
1974,1,3.6696,3.19
1974,2,0.95435,3.11
1974,3,1.659,3.52
1974,4,0.64275,3.58
1974,5,0.31971,3.64
1974,6,-0.4942,3
1974,7,1.0512,3.36
1974,8,-0.89,-0.28
1974,9,-1.3375,-1.03
1974,10,-2.8568,-2.02
1974,11,-0.096667,-0.05
1974,12,1.361,0.38
1975,1,1.7296,0.9
1975,2,0.85435,1.14
1975,3,-0.40101,0.03
1975,4,-0.76725,-0.04
1975,5,-0.27029,-0.01
1975,6,-0.4342,-0.13
1975,7,-0.088841,-0.14
1975,8,2.04,1.18
1975,9,-1.7475,-0.9
1975,10,3.4732,1.32
1975,11,0.70333,1.62
1975,12,2.521,2.27
1976,1,0.45957,2.22
1976,2,0.90435,2.29
1976,3,-0.36101,2.11
1976,4,-0.53725,1.8
1976,5,-0.37029,1.56
1976,6,-0.5042,1.29
1976,7,0.10116,1.28
1976,8,1.81,2.31
1976,9,-1.0375,-0.55
1976,10,-2.0768,-1.2
1976,11,-4.6967,-2.48
1976,12,-3.829,-3.58
1977,1,-4.2904,-4.48
1977,2,-1.7057,-4.78
1977,3,0.50899,-4
1977,4,-1.8472,-4.51
1977,5,0.92971,0.62
1977,6,-0.7742,-0.43
1977,7,-0.25884,-0.56
