%Arkansas hybrid precipitation index. alpha = 0; beta = 0; lagmax = 100
%year,month,tau=3,tau=10,tau=20,tau=36
1949,12,NaN,NaN,NaN,NaN
1950,1,NaN,NaN,NaN,NaN
1950,2,NaN,NaN,NaN,NaN
1950,3,NaN,NaN,NaN,NaN
1950,4,NaN,NaN,NaN,NaN
1950,5,NaN,NaN,NaN,NaN
1950,6,NaN,NaN,NaN,NaN
1950,7,NaN,NaN,NaN,NaN
1950,8,NaN,NaN,NaN,NaN
1950,9,NaN,NaN,NaN,NaN
1950,10,NaN,NaN,NaN,NaN
1950,11,NaN,NaN,NaN,NaN
1950,12,NaN,NaN,NaN,NaN
1951,1,NaN,NaN,NaN,NaN
1951,2,NaN,NaN,NaN,NaN
1951,3,NaN,NaN,NaN,NaN
1951,4,NaN,NaN,NaN,NaN
1951,5,NaN,NaN,NaN,NaN
1951,6,NaN,NaN,NaN,NaN
1951,7,NaN,NaN,NaN,NaN
1951,8,NaN,NaN,NaN,NaN
1951,9,NaN,NaN,NaN,NaN
1951,10,NaN,NaN,NaN,NaN
1951,11,NaN,NaN,NaN,NaN
1951,12,NaN,NaN,NaN,NaN
1952,1,NaN,NaN,NaN,NaN
1952,2,NaN,NaN,NaN,NaN
1952,3,NaN,NaN,NaN,NaN
1952,4,NaN,NaN,NaN,NaN
1952,5,NaN,NaN,NaN,NaN
1952,6,NaN,NaN,NaN,NaN
1952,7,NaN,NaN,NaN,NaN
1952,8,NaN,NaN,NaN,NaN
1952,9,NaN,NaN,NaN,NaN
1952,10,NaN,NaN,NaN,NaN
1952,11,NaN,NaN,NaN,NaN
1952,12,NaN,NaN,NaN,NaN
1953,1,NaN,NaN,NaN,NaN
1953,2,NaN,NaN,NaN,NaN
1953,3,NaN,NaN,NaN,NaN
1953,4,NaN,NaN,NaN,NaN
1953,5,NaN,NaN,NaN,NaN
1953,6,NaN,NaN,NaN,NaN
1953,7,NaN,NaN,NaN,NaN
1953,8,NaN,NaN,NaN,NaN
1953,9,NaN,NaN,NaN,NaN
1953,10,NaN,NaN,NaN,NaN
1953,11,NaN,NaN,NaN,NaN
1953,12,NaN,NaN,NaN,NaN
1954,1,NaN,NaN,NaN,NaN
1954,2,NaN,NaN,NaN,NaN
1954,3,NaN,NaN,NaN,NaN
1954,4,NaN,NaN,NaN,NaN
1954,5,NaN,NaN,NaN,NaN
1954,6,NaN,NaN,NaN,NaN
1954,7,NaN,NaN,NaN,NaN
1954,8,NaN,NaN,NaN,NaN
1954,9,NaN,NaN,NaN,NaN
1954,10,NaN,NaN,NaN,NaN
1954,11,NaN,NaN,NaN,NaN
1954,12,NaN,NaN,NaN,NaN
1955,1,NaN,NaN,NaN,NaN
1955,2,NaN,NaN,NaN,NaN
1955,3,NaN,NaN,NaN,NaN
1955,4,NaN,NaN,NaN,NaN
1955,5,NaN,NaN,NaN,NaN
1955,6,NaN,NaN,NaN,NaN
1955,7,NaN,NaN,NaN,NaN
1955,8,NaN,NaN,NaN,NaN
1955,9,NaN,NaN,NaN,NaN
1955,10,NaN,NaN,NaN,NaN
1955,11,NaN,NaN,NaN,NaN
1955,12,NaN,NaN,NaN,NaN
1956,1,NaN,NaN,NaN,NaN
1956,2,NaN,NaN,NaN,NaN
1956,3,NaN,NaN,NaN,NaN
1956,4,NaN,NaN,NaN,NaN
1956,5,-0.84,-0.70,-0.63,-0.50
1956,6,-0.63,-0.64,-0.61,-0.49
1956,7,-0.70,-0.66,-0.62,-0.51
1956,8,-0.78,-0.69,-0.64,-0.52
1956,9,-1.32,-0.88,-0.74,-0.59
1956,10,-1.26,-0.90,-0.76,-0.60
1956,11,-1.09,-0.88,-0.75,-0.60
1956,12,-1.25,-0.96,-0.80,-0.64
1957,1,-0.21,-0.63,-0.64,-0.55
1957,2,0.21,-0.45,-0.55,-0.49
1957,3,-0.08,-0.49,-0.56,-0.50
1957,4,1.89,0.21,-0.19,-0.29
1957,5,2.24,0.49,-0.03,-0.19
1957,6,2.09,0.61,0.05,-0.15
1957,7,1.56,0.57,0.06,-0.14
1957,8,1.47,0.63,0.12,-0.10
1957,9,1.36,0.68,0.17,-0.06
1957,10,1.18,0.68,0.19,-0.03
1957,11,2.14,1.05,0.41,0.10
1957,12,1.20,0.84,0.33,0.06
1958,1,0.67,0.70,0.28,0.04
1958,2,-0.03,0.46,0.18,-0.01
1958,3,0.16,0.47,0.20,0.00
1958,4,0.75,0.64,0.30,0.07
1958,5,1.09,0.77,0.38,0.12
1958,6,1.37,0.89,0.46,0.17
1958,7,1.54,1.00,0.54,0.22
1958,8,1.13,0.91,0.52,0.21
1958,9,1.65,1.10,0.64,0.30
1958,10,0.51,0.77,0.49,0.22
1958,11,0.66,0.80,0.52,0.24
1958,12,-0.49,0.40,0.32,0.13
1959,1,-0.74,0.23,0.24,0.08
1959,2,-0.33,0.28,0.26,0.10
1959,3,-0.46,0.17,0.21,0.07
1959,4,-0.73,0.02,0.13,0.04
1959,5,-1.08,-0.16,0.03,-0.02
1959,6,-0.46,-0.04,0.08,0.01
1959,7,0.11,0.11,0.15,0.05
1959,8,-0.01,0.07,0.13,0.05
1959,9,0.15,0.11,0.15,0.06
1959,10,0.08,0.09,0.14,0.07
1959,11,-0.42,-0.08,0.05,0.01
1959,12,0.07,0.06,0.11,0.04
1960,1,0.04,0.05,0.10,0.04
1960,2,-0.14,-0.01,0.07,0.02
1960,3,-0.57,-0.17,-0.01,-0.03
1960,4,-1.18,-0.41,-0.15,-0.11
1960,5,-0.66,-0.31,-0.11,-0.08
1960,6,-0.06,-0.14,-0.03,-0.04
1960,7,-0.15,-0.17,-0.05,-0.05
1960,8,-0.14,-0.16,-0.05,-0.05
1960,9,-0.26,-0.20,-0.08,-0.07
1960,10,-0.31,-0.22,-0.09,-0.08
1960,11,-0.74,-0.37,-0.18,-0.12
1960,12,-0.20,-0.23,-0.11,-0.08
1961,1,-0.84,-0.44,-0.23,-0.15
1961,2,-0.33,-0.31,-0.17,-0.12
1961,3,0.73,0.05,0.01,-0.01
1961,4,-0.01,-0.14,-0.09,-0.07
1961,5,0.57,0.07,0.02,0.00
1961,6,0.22,0.00,-0.01,-0.02
1961,7,0.78,0.21,0.09,0.04
1961,8,0.69,0.23,0.11,0.05
1961,9,0.25,0.13,0.06,0.02
1961,10,-0.38,-0.07,-0.04,-0.04
1961,11,0.30,0.13,0.06,0.02
1961,12,0.77,0.30,0.16,0.08
1962,1,0.92,0.40,0.21,0.12
1962,2,1.07,0.50,0.28,0.16
1962,3,0.55,0.38,0.23,0.14
1962,4,-0.16,0.16,0.12,0.08
1962,5,-1.00,-0.16,-0.04,-0.01
1962,6,-0.34,-0.01,0.03,0.02
1962,7,-0.38,-0.06,0.00,0.01
1962,8,-0.29,-0.06,0.00,0.01
1962,9,0.42,0.16,0.11,0.08
1962,10,0.51,0.21,0.14,0.10
1962,11,-0.35,-0.05,0.01,0.03
1962,12,-1.06,-0.31,-0.13,-0.05
1963,1,-1.53,-0.54,-0.26,-0.13
1963,2,-1.78,-0.72,-0.36,-0.19
1963,3,-1.38,-0.69,-0.36,-0.20
1963,4,-1.36,-0.75,-0.41,-0.23
1963,5,-1.51,-0.86,-0.48,-0.28
1963,6,-1.30,-0.85,-0.50,-0.29
1963,7,-0.64,-0.67,-0.42,-0.25
1963,8,-0.87,-0.74,-0.47,-0.29
1963,9,-1.16,-0.85,-0.54,-0.33
1963,10,-1.88,-1.13,-0.70,-0.43
1963,11,-1.52,-1.08,-0.69,-0.44
1963,12,-1.54,-1.13,-0.74,-0.47
1964,1,-1.78,-1.25,-0.82,-0.53
1964,2,-1.55,-1.22,-0.83,-0.54
1964,3,-0.46,-0.89,-0.67,-0.46
1964,4,0.57,-0.50,-0.48,-0.35
1964,5,-0.32,-0.70,-0.59,-0.41
1964,6,-0.87,-0.85,-0.67,-0.46
1964,7,-0.97,-0.88,-0.70,-0.49
1964,8,0.00,-0.56,-0.54,-0.41
1964,9,0.43,-0.36,-0.44,-0.35
1964,10,-0.55,-0.62,-0.57,-0.42
1964,11,-0.59,-0.63,-0.57,-0.43
1964,12,-0.68,-0.65,-0.59,-0.45
1965,1,-0.41,-0.56,-0.55,-0.42
1965,2,0.12,-0.37,-0.45,-0.36
1965,3,0.00,-0.37,-0.44,-0.36
1965,4,-0.67,-0.56,-0.54,-0.42
1965,5,-0.56,-0.53,-0.52,-0.41
1965,6,-0.38,-0.47,-0.49,-0.40
1965,7,-0.47,-0.50,-0.51,-0.42
1965,8,-0.41,-0.47,-0.49,-0.41
1965,9,0.84,-0.04,-0.27,-0.29
1965,10,-0.35,-0.36,-0.43,-0.39
1965,11,-1.06,-0.60,-0.55,-0.47
1965,12,-1.40,-0.76,-0.63,-0.52
1966,1,-0.85,-0.63,-0.57,-0.49
1966,2,-0.07,-0.39,-0.45,-0.42
1966,3,-1.15,-0.72,-0.62,-0.53
1966,4,0.19,-0.31,-0.42,-0.42
1966,5,-0.24,-0.41,-0.46,-0.44
