%year,month,precipitation anomalies, PDSI
1963,7,1.0448,-2.18
1963,8,-1.4651,-2.43
1963,9,-1.8983,-2.77
1963,10,-3.71,-3.78
1963,11,-0.60565,-3.76
1963,12,-1.5949,-3.85
1964,1,-2.3972,-4.18
1964,2,-0.95087,-4.04
1964,3,2.283,-2.92
1964,4,3.1839,-1.8
1964,5,-2.5778,-2.35
1964,6,-2.2614,-2.91
1964,7,-1.2052,-3.43
1964,8,2.4249,-2.46
1964,9,1.5417,-1.7
1964,10,-3.05,-2.15
1964,11,-0.67565,-2.3
1964,12,-0.92493,-2.42
1965,1,0.28275,-2.16
1965,2,1.4691,-1.51
1965,3,-0.31696,-1.24
1965,4,-2.3761,-1.92
1965,5,-0.25783,-1.93
1965,6,0.068551,0.07
1965,7,-0.71522,-0.09
1965,8,-0.24507,-0.12
1965,9,4.0117,1.29
1965,10,-3.35,-0.58
1965,11,-2.8757,-1.35
1965,12,-2.2649,-1.99
1966,1,0.56275,-1.73
1966,2,1.8791,-0.98
1966,3,-3.857,-2.06
1966,4,3.5739,-0.81
1966,5,-1.3178,-0.97
1966,6,-3.0114,-1.73
1966,7,-0.38522,-2.03
1966,8,3.2349,-0.74
1966,9,-1.3383,-0.85
1966,10,-1.13,-0.9
1966,11,-2.4557,-1.55
1966,12,-0.27493,-1.58
1967,1,-2.1772,-2.06
1967,2,-1.7609,-2.4
1967,3,-2.297,-3.05
1967,4,0.42391,-0.02
1967,5,2.4722,0.79
1967,6,-0.16145,0.67
1967,7,0.98478,1.23
1967,8,-0.60507,1.29
1967,9,0.28174,1.53
1967,10,0.8,1.84
1967,11,-2.7457,1.18
1967,12,1.9351,1.71
1968,1,0.90275,1.78
1968,2,-1.9409,1.02
1968,3,1.413,1.38
1968,4,0.43391,1.39
1968,5,4.3722,2.53
1968,6,-0.11145,2.24
1968,7,-0.52522,2.06
1968,8,-0.45507,1.76
1968,9,2.0517,2.4
1968,10,-1.12,2.13
1968,11,1.3343,2.42
1968,12,1.4551,2.73
1969,1,2.1028,2.99
1969,2,-0.36087,-0.14
1969,3,-1.097,-0.27
1969,4,-0.93609,-0.49
1969,5,-1.8778,-0.92
1969,6,0.0085507,-0.78
1969,7,-0.38522,-0.9
1969,8,-0.96507,-1.12
1969,9,-2.0783,-1.63
1969,10,0.53,-1.28
1969,11,-0.80565,-1.3
1969,12,1.7051,-0.6
1970,1,-2.6972,-1.24
1970,2,-0.42087,-1.27
1970,3,0.69304,0.33
1970,4,1.9739,0.81
1970,5,-2.1078,0.14
1970,6,0.13855,0.2
1970,7,-0.78522,0.07
1970,8,1.3249,0.5
1970,9,1.3717,0.83
1970,10,2.8,1.78
1970,11,-2.0657,-0.22
1970,12,-1.1749,-0.48
1971,1,-1.2372,-0.79
1971,2,-0.16087,-0.79
1971,3,-2.227,-1.27
1971,4,-2.4161,-1.75
1971,5,-1.0078,-1.66
1971,6,-1.2314,-1.95
1971,7,2.1448,0.73
1971,8,0.87493,1.21
1971,9,-1.9083,-0.52
1971,10,-1.81,-1.06
1971,11,-1.8457,-1.51
1971,12,3.0051,-0.71
1972,1,-0.58725,-0.84
1972,2,-2.6609,-1.65
1972,3,-1.777,-2.05
1972,4,-1.3261,-2.23
1972,5,-2.4578,-2.6
1972,6,-0.75145,-2.58
1972,7,0.19478,-2.2
1972,8,-0.83507,-2.25
1972,9,1.9617,0.51
1972,10,2.45,1.36
1972,11,3.1243,2.41
1972,12,1.1751,2.65
1973,1,1.0028,2.65
1973,2,-0.45087,2.22
1973,3,5.223,3.42
1973,4,5.1439,4.67
1973,5,-0.027826,4.33
1973,6,0.82855,4.18
1973,7,0.39478,4.17
1973,8,-1.3451,3.55
1973,9,2.6717,4.04
1973,10,1.66,4.25
1973,11,3.4743,4.9
1973,12,0.91507,4.77
1974,1,1.4828,4.64
1974,2,-1.0009,3.76
1974,3,-1.997,2.59
1974,4,0.88391,2.6
1974,5,0.10217,2.3
1974,6,4.2586,3.59
1974,7,-1.2352,3.07
1974,8,2.6449,3.8
1974,9,2.8917,4.72
1974,10,-0.67,4.51
1974,11,2.1743,4.9
1974,12,-1.2449,4.15
1975,1,-0.14725,3.62
1975,2,1.6491,3.72
1975,3,3.853,4.61
1975,4,-1.2861,3.87
1975,5,0.93217,3.68
1975,6,0.93855,3.65
1975,7,-0.37522,3.47
1975,8,1.1449,3.7
